From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2019-06-20 13:00:00,2019-06-20 14:00:00,16.0,75.0,7.7,13.38,21.07,23.3,12.13,0.11,26.37,3.95,,29.73,17.21,73.12,3.96,276.45,684.34,1004.77,,31.29,
2019-06-20 14:00:00,2019-06-20 15:00:00,17.93,80.67,8.09,16.57,24.66,21.58,12.39,0.11,25.29,2.71,,21.02,12.15,73.04,3.4,289.06,635.36,1004.5,,31.39,
2019-06-20 15:00:00,2019-06-20 16:00:00,20.88,76.28,9.05,17.12,26.18,18.58,12.5,0.1,23.47,2.41,,20.28,9.43,74.33,4.68,277.73,525.7,1003.91,,31.25,
2019-06-20 16:00:00,2019-06-20 17:00:00,18.12,77.89,13.31,23.29,36.59,19.72,12.34,0.09,23.26,2.89,,0.6,8.8,74.36,3.89,279.44,381.91,1003.33,,31.12,
2019-06-20 17:00:00,2019-06-20 18:00:00,15.12,78.94,8.96,18.64,27.6,23.24,12.27,0.09,20.84,3.2,,0.78,8.37,76.11,3.58,264.93,229.09,1003.03,,30.79,
2019-06-20 18:00:00,2019-06-20 19:00:00,20.77,78.06,5.91,20.33,26.24,27.9,11.85,0.14,20.08,6.2,,13.98,12.53,78.69,3.23,276.78,65.83,1003.13,,30.17,
2019-06-20 19:00:00,2019-06-20 20:00:00,25.79,79.88,8.89,32.74,41.63,27.41,12.54,0.2,14.14,8.55,,28.51,15.37,80.39,2.5,281.0,1.25,1003.7,,29.73,
2019-06-20 20:00:00,2019-06-20 21:00:00,25.04,81.89,8.09,30.39,38.49,24.08,12.2,0.22,11.91,8.38,,28.24,18.92,80.56,2.41,277.85,,1004.4,,29.6,
2019-06-20 21:00:00,2019-06-20 22:00:00,18.27,72.58,6.58,32.71,39.28,22.31,12.31,0.22,13.94,10.85,,29.3,19.25,81.42,1.98,279.51,,1004.7,,29.51,
2019-06-20 22:00:00,2019-06-20 23:00:00,22.8,78.59,4.59,26.38,30.98,20.63,12.18,0.18,11.37,8.0,,24.84,14.22,81.64,1.39,263.65,,1004.99,,29.35,
